EMPRESA,,1T Online,1T25,1T24,AH% 1T25-1T24,2T25,2T24,AH% 2T25-2T24,3T25,3T24,AH% 3T25-3T24,4T25,4T24,AH% 4T25-4T24,2025,2024,AH% 25-24,,2026,2025,P/L,EV/Ebitda
MDIA3,,69 ,69 ,70,"-0,75%",216 ,190 ,"13,93%",216 ,125 ,"73,43%",,176 ,"-100,00%",502,561,"-10,53%",,"-47,70%","9,37%","12,86","5,96"
MDNE3,,70 ,70 ,31,"128,81%",121 ,75 ,"60,81%",118 ,89 ,"32,35%",,45 ,"-100,00%",309,240,"28,72%",,"-15,44%","129,43%","8,04","7,39"
MEAL3,,-48,-48,-57,"16,55%",-32,12 ,"-365,99%",-27,-13,"-110,79%",,-48,"100,00%",-107,-106,"-1,49%",,"-51,01%","-29,29%","-2,4","4,59"
MELK3,,13 ,13 ,20,"-33,23%",39 ,-24,"264,23%",25 ,36 ,"-29,59%",,29 ,"-100,00%",78,61,"27,03%",,"-18,32%","69,18%","7,42","6,92"
MGLU3,,13 ,13 ,-391,"103,26%",-24,24 ,"-203,17%",85 ,102 ,"-17,37%",,295 ,"-100,00%",73,30,"146,85%",,"-69,71%","-21,17%","20,61","3,82"
MILS3,,68 ,68 ,66,"2,04%",87 ,71 ,"23,05%",67 ,71 ,"-4,86%",,76 ,"-100,00%",222,284,"-21,62%",,"-34,96%","21,48%","10,71","5,16"
MNPR3,,11 ,11 ,9,"33,21%",492 ,-12,"4271,91%",492 ,8 ,"6359,45%",,7 ,"-100,00%",995,12,"8421,10%",,"12,64%","207,78%","0,72","3,13"
MOTV3,,,,629,"-100,00%",,268 ,"-100,00%",1.232 ,422 ,"191,83%",,218 ,"-100,00%",1.232,1.537,"-19,88%",,"-25,84%","33,13%","11,17","7,12"
MOVI3,,78 ,78 ,21,"272,85%",68 ,43 ,"58,88%",70 ,78 ,"-10,57%",,62 ,"-100,00%",216,204,"5,90%",,"-69,12%","57,79%","13,19","3,34"
MRFG3,,88 ,88 ,-634,"113,88%",85 ,75 ,"13,08%",85 ,79 ,"7,69%",,2.578 ,"-100,00%",258,2.099,"-87,69%",,"104,88%","12,12%","7,58","4,73"
MRVE3,,-359,-359,31,"-1273,47%",-812,-71,"-1038,12%",87 ,-13,"783,90%",,-250,"100,00%",-1.084,-303,"-257,26%",,"-52,72%","47,76%","-3,76","8,21"
MTRE3,,11 ,11 ,20,"-44,38%",10 ,12 ,"-15,67%",9 ,17 ,"-49,31%",,19 ,"-100,00%",30,68,"-55,67%",,"-48,88%","94,94%","7,62","7,38"
MTSA4,,9 ,9 ,19,"-53,39%",10 ,4 ,"140,32%",12 ,14 ,"-13,14%",,9 ,"-100,00%",32,47,"-32,84%",,"-15,05%","12,48%","9,51","4,47"
MULT3,,234 ,234 ,207,"12,95%",264 ,282 ,"-6,17%",221 ,280 ,"-20,90%",,512 ,"-100,00%",720,1.281,"-43,83%",,"-24,11%","34,08%","12,3","9,43"
MYPK3,,11 ,11 ,-16,"166,65%",87 ,37 ,"135,13%",35 ,109 ,"-67,88%",,68 ,"-100,00%",133,198,"-32,98%",,"-8,35%","12,45%","8,08","3,62"
